,CM_TIMING,SLOPE_RATIO,DAY
0,2020-10-22T20:37:00Z,0.0681707146,木
1,2020-10-22T23:34:00Z,0.1784289332,木
2,2020-10-23T01:34:00Z,0.9211805733,金
3,2020-10-23T10:46:00Z,1.0869893415,金
4,2020-10-23T16:10:00Z,4.5323968907,金
5,2020-10-23T22:14:00Z,0.5639355957,金
6,2020-10-23T23:35:00Z,0.3899437831,金
7,2020-10-24T10:56:00Z,1.8780890894,土
8,2020-10-24T15:02:00Z,2.439189647,土
9,2020-10-24T19:37:00Z,0.8612962189,土
10,2020-10-24T22:36:00Z,0.3528702565,土
11,2020-10-25T06:07:00Z,0.9453027595,日
12,2020-10-25T14:10:00Z,2.3864831339,日
13,2020-10-25T21:39:00Z,0.2110030263,日
14,2020-10-26T10:52:00Z,0.696901884,月
15,2020-10-26T20:17:00Z,0.9501910474,月
16,2020-10-26T23:31:00Z,0.1627920648,月
17,2020-10-27T01:08:00Z,0.8140302638,火
18,2020-10-27T10:48:00Z,0.6806003197,火
19,2020-10-27T16:10:00Z,0.9317252446,火
20,2020-10-27T16:17:00Z,0,火
21,2020-10-28T00:46:00Z,0.9926909681,水
22,2020-10-28T07:41:00Z,1.1795020303,水
23,2020-10-28T09:24:00Z,6.746109488,水
24,2020-10-28T11:20:00Z,0.9529499853,水
25,2020-10-28T12:45:00Z,1.4863595545,水
26,2020-10-29T09:25:00Z,0.6876153542,木
27,2020-10-29T11:20:00Z,2.3344344337,木
28,2020-10-29T11:45:00Z,2.5280011236,木
29,2020-10-29T18:42:00Z,0.9087830091,木
30,2020-10-30T06:10:00Z,0.5049081921,金
31,2020-10-30T14:45:00Z,1.1037659199,金
32,2020-10-31T01:22:00Z,0.3966062622,土
33,2020-10-31T10:22:00Z,0.9649420629,土
34,2020-10-31T15:48:00Z,0.9687288931,土
35,2020-11-01T01:07:00Z,0.3107144707,日
36,2020-11-01T12:39:00Z,0.9127083225,日
37,2020-11-01T14:50:00Z,0.7232740204,日
38,2020-11-02T00:21:00Z,0.3594906294,月
